Age,Workclass,EdNum,MaritalStatus,Occupation,Relationship,Race,Sex,CapitalGain,CapitalLoss,HoursPerWeek,Country
43,5,13,2,0,0,4,1,0,0,50,37
58,5,14,2,3,0,4,1,15024,0,40,37
40,2,14,2,3,0,4,1,0,0,50,37
24,2,13,4,7,3,2,0,0,0,75,37
62,2,13,2,9,0,4,1,0,0,55,37
42,2,13,2,0,0,1,1,0,0,40,37
56,2,13,2,3,0,4,1,0,0,50,37
53,0,13,2,3,0,4,1,7298,0,40,37
48,2,14,0,9,4,4,0,0,0,40,37
30,2,13,2,11,0,1,1,0,0,40,17
58,2,13,2,9,0,4,1,0,0,40,37
69,5,16,2,9,0,4,1,0,0,50,37
56,4,14,5,11,4,4,0,0,0,36,37
31,4,13,0,3,4,4,1,0,0,60,37
47,2,14,5,6,4,1,0,0,0,42,17
35,2,14,2,3,0,4,1,0,0,45,37
55,4,14,0,3,1,4,0,0,0,50,16
24,4,13,4,11,1,4,1,0,0,40,37
46,2,14,2,9,0,4,1,0,1887,45,37
54,2,13,2,3,0,4,1,0,0,60,37
58,2,14,2,3,0,4,1,15024,0,40,11
28,2,13,4,3,1,4,1,0,0,50,37
37,2,14,2,3,5,4,0,0,0,40,37
43,1,13,0,9,4,2,0,0,0,42,37
26,2,13,4,12,1,4,1,0,0,40,37
36,2,13,4,12,3,4,1,0,0,40,37
55,0,13,3,3,1,2,1,0,0,40,37
40,0,14,4,9,1,4,1,0,0,40,37
42,2,13,0,9,4,4,1,7430,0,40,37
52,0,14,4,0,1,4,0,0,0,40,37
30,2,13,4,3,1,4,0,0,0,40,37
41,2,13,2,2,0,4,1,3103,0,40,37
52,2,13,2,9,0,4,1,0,0,40,37
42,4,13,2,11,0,4,1,0,0,60,37
47,4,13,2,9,0,4,1,0,2002,30,37
50,2,14,2,3,0,4,1,0,0,40,37
50,1,14,2,0,2,4,0,0,2415,50,37
46,3,13,2,11,0,4,1,0,0,50,37
35,2,15,4,9,1,1,1,0,0,40,17
32,2,15,2,9,0,4,1,0,0,40,37
27,2,13,2,3,0,4,1,0,0,40,37
33,2,13,2,3,0,4,1,0,0,40,37
39,0,13,4,0,1,4,1,0,1741,40,37
37,2,13,2,9,5,1,0,0,0,40,28
43,4,13,4,11,1,4,0,0,0,60,37
45,3,14,2,11,0,1,1,0,1902,40,15
28,2,13,4,7,1,4,1,0,0,50,37
28,5,14,2,9,5,4,0,0,0,50,37
50,2,14,2,11,0,4,1,0,0,40,37
50,1,14,0,9,4,4,0,0,0,65,37
32,2,13,2,3,0,4,1,4064,0,50,37
29,2,13,0,9,1,4,1,2463,0,15,37
43,5,15,2,9,0,4,1,0,0,50,37
35,2,13,4,3,1,4,1,0,0,45,37
50,4,13,2,3,0,4,1,15024,0,55,37
35,1,14,2,9,5,4,0,0,0,35,37
27,2,13,4,9,1,4,1,0,0,40,37
38,2,13,2,11,0,4,1,7298,0,40,37
37,3,13,2,11,0,4,1,0,0,50,37
47,2,13,2,3,0,4,1,0,0,50,37
71,4,13,2,11,0,4,1,0,0,20,37
50,2,13,2,2,0,4,1,0,1887,40,37
53,5,14,2,3,0,4,1,0,0,60,37
38,2,13,2,0,0,4,1,0,0,45,37
37,2,14,5,3,1,4,1,0,0,45,37
26,2,13,4,5,3,4,1,0,0,44,37
30,2,13,2,0,0,4,1,0,0,40,37
23,2,14,4,9,1,4,1,0,0,40,37
45,2,13,2,11,5,4,0,0,0,42,37
31,2,13,4,9,1,4,0,0,0,40,37
26,2,13,4,9,3,1,0,0,0,40,37
56,2,14,2,3,0,4,1,0,0,50,37
44,4,15,2,9,0,4,1,0,0,60,37
32,2,15,4,9,1,4,1,0,0,60,37
26,4,15,4,9,3,4,1,0,0,20,37
51,4,13,2,3,5,4,0,0,0,40,37
38,2,13,2,3,0,4,1,7298,0,50,37
60,4,13,2,4,0,4,1,0,0,50,37
26,2,13,6,3,1,4,0,0,0,55,37
28,0,13,4,9,1,4,1,0,0,50,37
39,1,13,2,2,0,4,1,0,0,40,37
51,1,16,0,9,1,4,0,0,0,45,37
26,1,13,4,10,3,4,1,0,0,40,37
49,5,13,2,0,0,4,1,0,0,40,37
51,2,13,2,3,0,4,1,7688,0,40,37
47,2,13,2,11,0,2,1,0,0,40,37
23,2,13,4,9,3,4,1,0,0,60,37
50,2,13,5,9,3,3,0,0,0,40,37
50,5,13,3,9,1,4,1,6849,0,40,37
51,2,13,2,9,0,4,1,0,0,40,37
50,1,14,0,9,1,4,0,0,0,45,37
59,2,14,2,11,0,4,1,7298,0,55,37
44,2,13,2,13,0,4,1,0,0,52,37
58,2,13,6,2,1,4,1,0,0,40,37
61,1,13,3,9,1,4,1,0,0,40,37
59,4,14,2,13,0,4,1,0,0,15,37
45,5,13,2,3,0,4,1,7298,0,40,37
33,2,13,4,0,1,2,0,0,0,40,37
49,2,13,2,0,0,4,1,5178,0,40,37
40,2,14,2,9,0,4,1,0,0,55,37
29,2,13,2,3,5,4,1,0,0,40,37
32,0,13,2,3,5,1,0,0,1977,40,37
59,5,14,2,9,0,1,1,0,0,50,28
36,5,13,4,0,1,4,0,0,0,40,37
52,1,13,2,9,0,2,1,0,0,40,37
39,2,13,2,11,0,4,1,3464,0,40,37
33,5,13,4,9,2,2,0,0,0,40,37
37,2,13,4,3,1,4,1,0,0,45,37
39,2,13,2,3,0,4,1,0,1977,40,37
35,2,13,2,11,0,4,1,0,0,52,37
35,4,13,2,11,0,4,1,0,0,40,37
51,1,14,2,9,0,4,1,0,0,40,37
46,3,14,2,11,0,4,1,0,0,50,37
50,2,13,0,9,4,4,0,0,0,45,37
38,2,13,2,2,0,4,1,0,0,40,37
40,1,14,2,9,0,4,1,7688,0,40,37
38,2,13,2,0,0,4,1,0,0,48,37
68,2,13,2,11,0,4,1,0,0,30,37
47,2,14,2,3,0,4,1,99999,0,50,37
23,2,13,4,3,4,4,0,0,0,30,37
56,2,13,6,7,1,4,0,0,0,40,37
60,0,13,2,0,0,2,1,0,0,40,37
36,2,14,2,3,0,1,1,0,0,40,34
72,4,15,2,9,0,4,1,0,2246,28,37
32,2,14,4,9,1,4,0,0,0,20,37
30,1,14,4,9,1,4,0,0,0,45,37
67,2,13,2,9,0,4,1,0,0,40,37
29,2,14,4,9,1,4,1,0,0,40,37
33,2,13,3,7,4,4,0,0,0,24,37
43,2,13,0,9,1,4,0,0,0,38,37
31,0,14,2,3,0,4,1,7688,0,60,37
44,5,13,4,4,1,4,1,0,0,40,37
48,2,13,2,0,0,4,1,7688,0,40,37
45,5,13,0,10,1,4,1,0,0,40,37
49,2,14,0,9,1,4,1,0,0,60,37
48,2,16,2,9,0,4,1,0,0,45,37
24,2,13,4,6,1,4,1,0,0,65,37
43,1,14,2,9,0,4,1,0,0,40,37
25,2,13,4,2,3,4,1,0,0,30,1
23,2,13,2,7,0,4,1,0,0,20,37
32,2,13,2,3,0,4,1,0,0,48,37
41,1,14,2,9,0,4,1,0,0,35,37
