Age,Workclass,EdNum,MaritalStatus,Occupation,Relationship,Race,Sex,CapitalGain,CapitalLoss,HoursPerWeek,Country
56,2,7,0,11,1,4,0,0,0,40,34
31,2,6,4,7,1,4,0,0,0,40,34
30,2,7,2,2,0,4,1,0,0,45,34
32,4,6,0,2,1,4,1,0,0,40,34
29,2,8,2,7,0,1,1,0,0,50,2
26,2,6,0,5,1,4,0,0,0,30,34
38,4,5,0,2,1,4,1,0,0,40,34
53,2,8,2,12,0,4,1,0,0,45,34
30,2,8,4,2,1,2,1,0,0,40,34
17,2,8,4,7,3,4,1,0,0,32,34
21,0,8,4,0,3,2,1,0,0,25,34
39,2,6,2,6,0,4,1,0,0,40,34
49,2,6,2,13,0,4,1,0,0,99,34
17,2,7,4,2,3,4,1,0,0,10,34
44,2,2,2,4,0,4,1,0,0,40,22
38,2,4,2,4,0,4,1,3942,0,84,28
51,2,6,2,2,0,4,1,0,0,40,34
53,2,2,2,13,0,4,1,0,0,50,34
59,2,6,5,8,1,2,0,0,0,30,34
30,2,7,4,0,3,4,1,0,0,40,34
38,2,2,2,5,0,4,1,0,0,40,22
29,2,7,4,11,1,0,1,4101,0,40,34
17,2,7,4,11,2,4,0,0,0,26,34
57,2,6,2,13,0,4,1,0,0,60,34
43,2,5,0,5,4,4,0,0,0,40,34
54,2,6,0,7,4,4,0,0,0,40,34
29,2,7,0,7,1,4,0,0,0,70,34
36,1,7,2,2,0,4,1,0,0,40,34
17,2,7,4,5,3,4,1,0,0,20,34
66,3,4,2,3,0,4,1,0,0,50,34
35,2,8,2,6,0,4,1,0,0,40,34
43,2,2,4,11,3,4,1,0,0,40,34
18,2,7,4,11,3,4,0,0,0,15,34
34,1,5,4,7,3,4,1,0,0,40,34
22,2,6,4,6,1,4,1,0,0,40,22
68,2,7,0,13,1,4,1,0,0,70,34
84,2,4,2,9,0,2,1,0,0,10,34
60,2,4,5,8,4,2,0,0,0,15,34
25,2,2,4,8,1,4,0,0,0,40,12
29,4,7,2,7,5,4,0,0,0,5,34
18,2,7,4,7,3,4,1,0,0,24,34
82,2,3,6,7,4,4,1,0,0,20,34
50,2,8,0,13,1,4,1,0,0,40,34
17,2,8,4,11,3,4,0,0,0,20,34
29,2,6,4,7,3,4,0,0,0,38,22
71,2,3,2,13,0,4,1,0,0,40,34
26,2,3,3,8,2,4,0,0,0,8,7
18,2,8,4,5,3,4,1,0,0,20,34
35,2,6,4,7,4,2,0,0,0,38,34
24,4,4,4,4,3,4,1,0,0,50,34
27,2,3,4,4,4,4,1,0,0,50,34
19,4,6,3,0,4,0,0,0,0,40,34
26,2,3,4,5,1,4,1,0,0,40,22
46,2,5,0,11,1,4,1,0,0,35,34
53,2,4,2,6,0,4,1,0,0,40,22
48,2,6,4,8,2,4,0,0,0,40,34
34,2,5,2,2,0,4,1,0,0,40,22
47,2,4,2,6,5,2,0,0,0,35,34
33,2,3,4,6,1,4,1,0,0,35,34
59,2,7,2,7,5,4,0,3908,0,28,34
57,4,6,0,3,3,4,1,0,0,60,34
21,2,5,4,7,3,4,0,0,0,50,22
25,2,5,3,0,4,1,0,0,0,40,35
19,2,6,4,5,3,4,1,0,0,25,34
40,2,6,2,2,0,4,1,0,0,40,34
48,2,4,2,5,0,4,1,0,0,40,34
18,2,4,4,7,3,2,1,0,0,20,34
17,2,7,4,2,3,4,0,0,0,15,34
51,2,4,0,6,1,4,0,0,0,48,34
37,2,3,2,6,0,4,1,0,0,40,7
63,2,7,2,2,0,4,1,0,1902,40,34
22,2,7,4,2,4,4,1,0,0,40,7
61,2,6,2,6,0,4,1,0,0,45,34
54,2,3,3,7,4,2,0,0,0,30,13
41,2,8,2,5,0,4,1,0,0,40,34
51,2,8,0,13,4,4,1,0,0,50,34
22,2,7,5,2,1,4,1,0,0,40,34
61,2,5,6,3,1,2,1,0,0,65,34
17,2,7,4,7,3,4,1,0,0,40,34
75,4,7,2,3,0,4,1,0,0,30,34
17,2,6,4,11,4,4,0,0,0,12,34
56,2,6,6,7,4,4,0,0,0,40,34
33,4,2,3,2,1,4,1,0,0,40,22
24,2,7,4,2,1,4,1,0,0,40,34
81,4,6,2,4,0,4,1,0,0,45,34
31,2,6,2,6,0,4,1,0,0,40,34
23,2,7,4,7,3,4,0,0,0,40,34
17,1,5,4,7,3,2,1,0,0,9,34
31,2,7,0,5,2,2,1,0,1721,40,34
57,2,4,2,13,0,4,1,0,0,44,34
36,2,4,2,4,0,4,1,0,0,35,22
38,2,7,2,6,0,4,1,0,0,35,34
31,2,8,0,7,4,4,0,0,0,21,34
23,2,3,4,8,4,4,0,0,0,12,22
18,2,8,4,6,3,4,1,0,0,4,34
18,2,7,4,11,3,4,1,0,0,25,34
18,2,7,4,7,3,4,1,0,0,40,34
41,2,6,2,13,0,2,1,0,0,40,34
20,2,3,4,7,2,4,1,0,0,40,22
18,2,8,4,11,2,4,0,0,0,16,34
18,4,7,4,7,3,4,0,594,0,4,34
29,2,8,3,7,1,2,0,0,0,40,34
18,2,7,4,2,3,4,1,0,0,5,34
18,2,7,4,7,3,4,1,0,0,15,34
18,2,8,4,2,3,4,1,0,0,10,34
36,2,2,6,7,2,4,0,0,0,20,22
50,2,5,2,2,0,4,1,2885,0,40,34
34,2,7,4,2,1,4,0,0,0,30,34
33,0,6,4,7,4,2,0,0,0,40,34
76,3,5,2,9,0,4,1,0,0,40,34
58,2,7,2,2,0,4,1,0,0,40,34
44,2,6,0,0,4,3,0,0,0,42,34
20,2,7,4,13,3,4,1,0,0,40,34
17,2,8,4,5,3,4,1,0,0,20,34
42,2,7,2,7,0,4,1,0,0,40,34
18,2,7,4,11,3,4,0,0,0,25,34
61,2,4,2,13,0,4,1,0,0,40,34
23,2,8,4,6,3,4,0,0,0,40,34
22,2,5,4,5,2,4,1,0,0,30,34
73,1,3,6,7,2,1,0,0,0,25,26
58,2,6,0,7,4,4,0,0,0,65,34
42,2,3,3,2,1,4,1,0,0,40,29
18,2,7,4,11,3,4,0,0,0,5,34
29,2,6,2,4,5,4,0,0,0,40,34
18,2,7,4,7,3,2,1,0,0,20,34
35,2,5,2,5,0,4,1,0,0,46,34
18,2,8,4,7,3,4,0,0,0,25,34
18,2,7,2,2,0,4,1,0,0,40,34
35,2,6,4,0,3,4,1,0,0,40,34
45,4,5,2,13,0,2,1,0,0,40,34
27,2,3,4,13,1,4,1,0,0,40,22
46,2,2,0,2,1,4,1,0,0,40,22
20,4,4,4,2,3,4,1,0,0,20,34
48,4,3,2,2,0,4,1,0,2042,50,34
51,2,5,6,2,1,4,1,0,0,30,34
25,2,8,4,6,1,4,1,0,1741,40,34
73,2,4,2,5,0,4,1,0,0,25,34
35,2,6,2,2,0,4,1,0,0,40,34
18,2,7,4,7,2,4,0,0,0,40,34
41,2,6,2,2,0,4,1,0,0,40,34
60,2,3,2,2,0,4,1,0,0,45,18
18,2,7,4,7,3,4,1,0,0,15,25
32,2,7,4,8,4,2,0,0,0,40,34
32,2,6,0,7,4,2,0,0,0,23,34
18,2,7,4,11,3,4,0,0,0,18,34
17,2,7,4,11,3,4,0,0,0,20,34
32,2,6,5,2,4,4,0,0,0,40,34
56,2,5,5,7,4,2,0,0,0,40,34
63,4,4,2,4,0,4,1,0,0,30,34
17,2,7,4,11,3,4,0,0,0,15,34
49,2,6,2,2,0,4,1,0,0,40,34
25,2,7,2,2,0,3,1,0,0,40,34
61,2,3,2,5,0,1,1,7298,0,40,26
43,2,3,3,8,2,4,0,0,0,40,7
20,2,7,2,5,2,4,1,2961,0,35,34
38,2,5,2,0,0,4,1,0,0,40,34
28,2,4,5,5,1,4,1,0,0,40,22
