Age,Workclass,EdNum,MaritalStatus,Occupation,Relationship,Race,Sex,CapitalGain,CapitalLoss,HoursPerWeek,Country
48,2,9,0,13,1,4,1,0,0,40,38
27,2,9,2,11,0,4,1,0,0,40,38
50,2,9,2,9,0,4,1,0,0,40,38
29,2,9,2,11,0,4,1,0,0,40,38
34,2,9,2,2,0,4,1,0,0,45,38
62,2,9,2,3,0,4,1,0,0,40,38
33,2,9,2,11,0,4,1,0,0,50,38
46,2,10,2,2,0,4,1,0,0,40,38
30,2,10,0,3,1,4,1,8614,0,50,38
27,2,10,3,11,1,4,0,0,0,25,38
44,2,10,2,12,0,4,1,0,0,18,38
49,5,10,0,9,1,4,0,0,0,20,38
29,2,9,2,13,2,4,1,0,0,40,38
20,2,10,4,11,3,4,0,0,0,30,38
47,2,11,2,7,0,4,1,0,0,40,38
53,2,10,6,3,4,4,0,0,0,40,38
41,3,9,2,2,0,4,1,0,0,50,38
21,2,10,4,7,3,4,0,0,0,15,38
72,2,9,0,7,1,4,0,0,0,16,38
34,2,9,0,7,1,4,0,0,0,38,38
52,2,9,2,11,0,4,1,7298,0,50,38
40,2,11,2,3,0,4,1,0,0,50,38
60,2,10,6,10,1,2,0,0,0,40,38
65,0,9,6,0,1,4,0,0,0,40,38
32,2,9,1,7,2,4,0,0,0,10,38
56,2,9,0,2,4,2,1,0,0,40,38
18,2,9,4,7,3,4,0,0,0,8,38
20,5,10,4,7,3,4,0,0,0,20,38
30,2,9,5,0,4,2,0,0,0,40,38
39,5,9,2,0,5,1,0,3464,0,20,38
36,3,10,2,2,0,4,1,7298,0,45,38
47,2,9,2,0,0,4,1,0,0,40,25
31,2,9,0,0,1,4,0,0,0,40,38
38,2,9,2,6,0,4,1,0,0,40,38
65,2,11,3,2,1,4,1,0,0,20,38
29,2,10,0,0,4,4,0,0,0,20,38
54,4,10,2,13,0,4,1,2829,0,30,38
54,2,10,2,5,0,2,1,0,0,40,38
40,5,9,2,2,0,4,1,0,0,40,38
47,4,10,2,4,0,4,1,0,0,86,38
29,2,11,2,0,0,4,1,0,0,40,38
24,2,9,5,6,1,4,1,0,0,40,38
46,2,9,5,11,1,4,0,0,0,40,38
29,2,9,5,7,4,2,0,0,0,30,38
42,2,9,2,7,5,2,0,0,0,35,38
36,2,10,0,0,1,4,1,0,0,45,38
33,2,9,2,13,0,2,1,0,0,40,38
41,2,9,2,3,0,4,1,0,0,40,38
22,2,10,4,13,3,4,1,0,0,25,38
30,2,11,0,6,1,4,1,0,0,40,38
45,0,12,4,3,1,4,1,0,0,40,38
36,2,10,2,2,0,4,1,0,0,40,38
28,2,12,4,0,3,4,1,0,0,35,38
34,2,12,4,12,4,4,0,0,0,40,38
42,2,9,2,13,0,4,1,0,1740,43,38
57,1,10,6,0,4,4,0,0,0,40,25
23,2,9,4,0,1,4,0,0,0,50,38
